spec,comb,test,down,solutions,limit_test,limit_down,limit_solutions
14638827405611053494,14696297025090193322,22,10,2,38,22,8
14638827405611053494,15786371746276086785,26,14,4,26,14,4
14638827405611053494,8703768238146895835,26,12,2,26,14,4
14638827405611053494,16632910022995741870,42,18,4,42,22,8
14638827405611053494,1319992477807027015,42,18,4,42,22,8
14638827405611053494,18387860139792047690,28,16,4,44,28,8
14638827405611053494,5856198991986604457,28,14,2,44,28,8
14638827405611053494,15861483196525139553,44,20,4,76,44,16
14638827405611053494,17471456760654050195,44,20,4,76,44,16
14638827405611053494,9581802723584445816,52,28,8,52,28,8
14638827405611053494,198170937666578798,52,24,4,52,28,8
14638827405611053494,18047859571204980094,84,36,8,84,44,16
14638827405611053494,8572321140509640205,84,36,8,84,44,16
17042254634646949542,11871522780173434607,14,8,2,22,14,4
17042254634646949542,9907127745160836775,18,8,2,30,18,8
17042254634646949542,7961151471083848655,14,7,1,22,14,4
17042254634646949542,14696297025090193322,18,8,2,30,18,8
17042254634646949542,15786371746276086785,26,14,4,26,14,4
17042254634646949542,16632910022995741870,34,14,4,34,18,8
17042254634646949542,8703768238146895835,26,12,2,26,14,4
17042254634646949542,1319992477807027015,34,14,4,34,18,8
17042254634646949542,18387860139792047690,28,16,4,44,28,8
17042254634646949542,15861483196525139553,36,16,4,60,36,16
17042254634646949542,5856198991986604457,28,14,2,44,28,8
17042254634646949542,17471456760654050195,36,16,4,60,36,16
17042254634646949542,9581802723584445816,52,28,8,52,28,8
17042254634646949542,18047859571204980094,68,28,8,68,36,16
17042254634646949542,198170937666578798,52,24,4,52,28,8
17042254634646949542,8572321140509640205,68,28,8,68,36,16
2159425635055381117,11871522780173434607,14,8,2,18,12,4
2159425635055381117,7961151471083848655,14,7,1,18,12,4
2159425635055381117,15786371746276086785,22,12,4,22,12,4
2159425635055381117,8703768238146895835,22,10,2,22,12,4
2159425635055381117,9907127745160836775,26,12,2,34,22,8
2159425635055381117,14696297025090193322,26,12,2,34,22,8
2159425635055381117,16632910022995741870,42,18,4,42,22,8
2159425635055381117,1319992477807027015,42,18,4,42,22,8
2159425635055381117,18387860139792047690,28,16,4,36,24,8
2159425635055381117,5856198991986604457,28,14,2,36,24,8
2159425635055381117,9581802723584445816,44,24,8,44,24,8
2159425635055381117,198170937666578798,44,20,4,44,24,8
2159425635055381117,15861483196525139553,52,24,4,68,44,16
2159425635055381117,17471456760654050195,52,24,4,68,44,16
2159425635055381117,18047859571204980094,84,36,8,84,44,16
2159425635055381117,8572321140509640205,84,36,8,84,44,16
11372430297802169839,11871522780173434607,18,10,2,18,12,4
11372430297802169839,15786371746276086785,26,12,4,26,16,8
11372430297802169839,7961151471083848655,14,7,1,14,8,2
11372430297802169839,8703768238146895835,18,8,2,18,10,4
